component,evidence_type,evidence,scope,limitation,design_implication
R1 relation interpretation,empirical evidence,"Text/Visual relation compatibility differs; mean normalized-operator relative-L1 is about 0.0159 Text and 0.0136 Visual; beta mean is 0.0526/0.0518.","15 P1 Full runs; modality separated","Operator change is small and beta remains near initialization.","Revise scorer to semantic-grounded relative compatibility while preserving raw-topology fallback."
R1 relation interpretation,mechanism behavior,"Relation residual abs-mean is about 0.6714/0.6191; local adaptation c mean is about 0.0355/0.0316; edge support is unchanged.","Text/Visual aggregate","Residual saturation and partial compatibility alignment remain parameterization concerns.","Use R1-B and keep c for Stage-II relation-state conditioning."
R1 relation interpretation,functional sensitivity,"Frozen relation-off changes fused embedding relative-L2 by about 0.0057 and prediction flip rate by about 0.0013.","15 saved heads; relation-off post-hoc intervention","This is frozen sensitivity, not retrained causal ablation; effect is small at the classifier output.","Do not claim downstream utility from cosine alone; validate R1-B in P1.7."
R1 relation interpretation,performance evidence,"P1 Full five-dataset validation mean is 0.8126 Accuracy and 0.7459 Macro-F1; no component-isolated R1 performance exists.","Descriptive P1 Full","Full-model performance cannot identify R1 contribution.","Performance is a guardrail, not the R1 selection criterion."
R2 semantic reference,empirical evidence,"Corrected alpha means are about 0.1023/0.0997 with std 0.00173/0.00277; alpha cross-seed Pearson is about 0.563/0.603; term_p cross-seed Pearson is about 0.419/0.599.","Text/Visual; 15 runs and same-node cross-seed pairs","Moderate consistency does not prove a better prior parameterization.","Keep p but stabilize its scale and remove the weak c branch."
R2 semantic reference,mechanism behavior,"P1.5 covariance contributions of p/d/c are about 0.700/0.291/0.009 for Text and 0.992/0.005/0.003 for Visual; alpha has no 0/1 saturation.","P1.5 attribution plus corrected P1.5a","Covariance contribution is descriptive and signed; it is not a causal decomposition.","Use normalized projection p; retain rho_p and rho_d; delete explicit rho_c c."
R2 semantic reference,functional sensitivity,"No isolated frozen p intervention was run; corrected diagnostics show term_p rather than raw p is the stable functional quantity.","P1.5a","Missing direct intervention and retrained comparison.","Add R2-specific diagnostics and matched P1.7 controls."
R2 semantic reference,performance evidence,"No R2-isolated performance evidence exists; P1 Full test mean 0.8091/0.7444 is descriptive only.","P1 Full","No test-based selection is allowed.","Use validation guardrails in P1.7."
multi-hop context preservation,empirical evidence,"All Q/S/D/alpha banks have finite expected shapes; explicit S0...S3 are exported by the analysis API.","Synthetic tests and 15 checkpoint analyses","Shape/finite evidence does not prove utility.","Keep unchanged."
multi-hop context preservation,mechanism behavior,"S_k is formed recursively from P^m S_(k-1) with a reference to H0 and all states enter the retained bank.","Frozen V3 code","No redesign is needed and no trajectory headline is warranted.","Keep as progressive structure-semantic context formation."
