component,current_role,evidence,problem_found,decision,candidate_formula,reason,future_diagnostic
R1 relation modulation,"Interpret each physical edge in modality relation space","Compatibility discrepancy; beta near 0.05; operator perturbation nonzero but small","MLP/tanh scorer can saturate and relation interpretation is weakly grounded in relative neighborhood compatibility",REVISE,"R1-B: s_ij; mu_i; rrel_ij; u=[s,rrel,abs(rrel)]; a=softsign(w^T u+b); w_ij=exp(beta*a)","Preserves the story with fewer parameters and explicit relative semantics",P1.7 operator perturbation and relation-state tests
R2 semantic reference,"Adaptive alpha from p,d,c","term_p and alpha have moderate cross-seed consistency; c covariance contribution is about 0.009 Text and 0.003 Visual","tanh prior has bounded scale and explicit c duplicates information already entering Q/d and Stage-II conditioning",REVISE,"p=(w^T LN(H0))/(||w||+eps); logit(alpha)=logit(.1)+b+rho_p p+rho_d d", "Retain p without raw sign interpretation; remove redundant rho_c branch",P1.7 alpha dispersion term_p stability and validation guardrails
multi-hop preservation,"Retain S0...SK for progressive receptive fields","Finite shape and explicit-bank tests pass","No new problem found",KEEP,"S0=H0; Q_k=P S_(k-1); S_k=(1-alpha)Q_k+alpha H0", "Core Stage-I context formation responsibility",P1.7 retained-context diagnostics
context-change encoding,"Encode S_k-S_(k-1) into hop tokens","Injection ratio nonzero; D path is explicit","No validated problem found",KEEP,"D_k=LN(S_k-S_(k-1)); T_k=LN(S_k)+g_delta W_delta D_k+e_k", "Provides context-change information without new depth",P1.7 gate/injection direction and stability
cross-hop attention,"One node-wise one-head interaction over K+1 tokens","Corrected node entropy/heterogeneity and interaction-off sensitivity are nonzero","Strong pairwise-hop reasoning wording is unsupported",KEEP,"A_i=softmax(Q_iK_i^T/sqrt(H)); O_i=A_iV_i; S_tilde=S+g_int O", "Keep mechanism; narrow claim to node-adaptive context mixtures",P1.7 nodewise attention and frozen sensitivity follow-up
direct interacted content,"Compose eta with S_tilde","Interaction-off materially changes embeddings and predictions","No validated problem found",KEEP,"Z=sum_k eta_k S_tilde_k", "Prevents interaction from being an analysis-only decoration",P1.7 composition and stability checks
global plus modality order prior,"gamma+DeltaGamma baseline in eta","Explicit eta reconstruction and signed behavior are finite","No validated redundancy found",KEEP,"eta=gamma+DeltaGamma+...", "Preserves hierarchical signed prior",P1.7 eta distribution and seed stability
low-rank node content scorer,"delta_content from S_tilde","Largest eta covariance contribution among retained branches","No validated redundancy found",KEEP,"delta_content=LowRankScorer(S_tilde)", "Core node-specific utilization signal",P1.7 node variance and contribution
Stage-II reference residual,"s_ref times centered [1,alpha1,...,alphaK]","Near-fixed [+,-,-,-] pattern; node std about 1e-4; covariance contribution near zero","Manual reinjection duplicates Stage-I reference/order information",REMOVE,"Delete reference_residual and reference_filter_scale", "Simplifies eta and removes a functionally near-fixed branch",P1.7 compare full candidate against V3+R1/R2 controls
relation-state conditioning,"s_rel times c_i times standardized order profile","Small absolute amplitude but relation-to-eta covariance about 0.239 Text and 0.318 Visual","Old flag called it negligible based on amplitude alone",KEEP,"relation_residual=s_rel*c_i*beta_hat_rel,k", "Carries formation-state information into utilization",P1.7 c variance and eta contribution
signed adaptive filtering,"Signed unbounded eta over retained contexts","Negative eta fraction about 0.321 Text and 0.166 Visual","Reference branch is redundant; the overall signed mechanism remains active",REVISE,"eta=gamma+DeltaGamma+delta_content+relation_residual", "Simplify without softmax or new scorer",P1.7 signed fraction and effective order
late multimodal fusion,"Per-modality refine then concat residual fusion","Text/Visual independence tests pass","No validated problem found",KEEP,"fused=LateConcatResidual(z_text_refined,z_visual_refined)", "Maintains no early fusion and modality-specific reasoning",P1.7 interface and memory check
cross-modal propagation,"Not present in V3","Specification prohibits it","Would violate modality independence",REMOVE,"No cross-modal path before final fusion", "Preserve the central story",Architecture audit only
graph rewiring or semantic edges,"Not present in V3","Physical support is preserved","Would change task topology and protocol",REMOVE,"No edge addition/deletion or semantic kNN", "Preserve topology and comparability",Architecture audit only
auxiliary loss,"None","No explicit optimization pathology found","Adding loss to force diagnostic values would be post-hoc tuning",REMOVE,"No auxiliary loss", "Keep first V3.1 pilot interpretable",P1.7 training logs only
trajectory as headline,"Historical possible description","States are progressive contexts but trajectory is not separately validated","Headline would overclaim beyond retained-state evidence",DEMOTE_FROM_CORE_CLAIM,"Describe progressive context formation and retained context bank", "Align claim with observable mechanism",P1.7 context-bank diagnostics
strong pairwise hop dependency,"Historical possible attention interpretation","Query diversity is smaller than node heterogeneity","Corrected metrics support node mixtures, not strong pairwise reasoning",DEMOTE_FROM_CORE_CLAIM,"Use Node-Adaptive Cross-Hop Context Interaction", "Avoid semantic overclaim",P1.7 query diversity and node heterogeneity
